Rank,Name,Release Date,Platform,Genre,Publisher,Developer,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic Score,User Score,ESRB Rating
47,Super Mario 64,1996-06-23,N64,Platform,Nintendo,Nintendo,6.91,2.85,1.91,0.23,11.89,94.0,92.0,E
48,Gran Turismo 4,2004-12-28,PS2,Racing,Sony Computer Entertainment,Polyphony Digital,3.01,0.01,1.1,7.53,11.66,89.0,85.0,E
49,Super Mario Galaxy,2007-11-01,Wii,Platform,Nintendo,Nintendo,6.16,3.4,1.2,0.76,11.52,97.0,90.0,E
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014-11-21,3DS,Role-Playing,Nintendo,Game Freak,4.23,3.37,3.08,0.65,11.33,83.0,80.0,E
51,Super Mario Land 2: 6 Golden Coins,1992-10-02,GB,Adventure,Nintendo,Nintendo,6.16,2.04,2.69,0.29,11.18,78.0,82.0,E
52,Grand Theft Auto IV,2008-04-29,X360,Action,Take-Two Interactive,Rockstar North,6.76,3.1,0.14,1.03,11.02,98.0,79.0,M
53,Gran Turismo,1997-12-23,PS,Racing,Sony Computer Entertainment,Polyphony Digital,4.02,3.87,2.54,0.52,10.95,96.0,86.0,E
54,Super Mario 3D Land,2011-11-03,3DS,Platform,Nintendo,Nintendo,4.89,2.99,2.13,0.78,10.79,90.0,85.0,E
55,Gran Turismo 5,2010-11-24,PS3,Racing,Sony Computer Entertainment,Polyphony Digital,2.96,4.88,0.81,2.12,10.77,84.0,79.0,E
56,Call of Duty: Modern Warfare 2,2009-11-10,PS3,Shooter,Activision,Infinity Ward,4.99,3.69,0.38,1.63,10.69,94.0,86.0,M
57,Grand Theft Auto IV,2008-04-29,PS3,Action,Take-Two Interactive,Rockstar North,4.76,3.76,0.44,1.62,10.57,98.0,79.0,M
58,Super Mario All-Stars,1993-09-01,SNES,Platform,Nintendo,Nintendo,5.99,2.15,2.12,0.29,10.55,89.0,87.0,E
59,Pokemon FireRed/Pokemon LeafGreen,2004-01-29,GBA,Role-Playing,Nintendo,Game Freak,4.34,2.65,3.15,0.35,10.49,81.0,85.0,E
60,Super Mario 64,1996-06-23,DS,Platform,Nintendo,Nintendo,5.08,3.11,1.25,0.98,10.42,94.0,92.0,E
61,Just Dance 3,2011-10-07,Wii,Misc,Ubisoft,Ubisoft,6.05,3.15,0.0,1.07,10.26,75.0,70.0,E
62,Call of Duty: Ghosts,2013-11-05,X360,Shooter,Activision,Infinity Ward,6.72,2.63,0.04,0.82,10.21,78.0,68.0,M
63,Halo: Reach,2010-09-14,X360,Shooter,Microsoft Game Studios,Bungie,7.03,1.98,0.08,0.78,9.88,91.0,87.0,M
64,Mario Kart 64,1996-12-14,N64,Racing,Nintendo,Nintendo,5.55,1.94,2.23,0.15,9.87,83.0,85.0,E
65,New Super Mario Bros. 2,2012-07-28,3DS,Platform,Nintendo,Nintendo,3.66,3.07,2.47,0.63,9.82,78.0,75.0,E
66,Halo 4,2012-11-06,X360,Shooter,Microsoft Game Studios,343 Industries,6.63,2.36,0.04,0.73,9.76,87.0,89.0,M
67,Final Fantasy VII,1997-01-31,PS,Role-Playing,Sony Computer Entertainment,SquareSoft,3.01,2.47,3.28,0.96,9.72,92.0,92.0,T
68,Call of Duty: Ghosts,2013-11-05,PS3,Shooter,Activision,Infinity Ward,4.09,3.73,0.38,1.38,9.59,78.0,68.0,M
69,Just Dance 2,2010-10-12,Wii,Misc,Ubisoft,Ubisoft,5.84,2.89,0.01,0.78,9.52,76.0,70.0,E
70,Gran Turismo 2,1999-12-11,PS,Racing,Sony Computer Entertainment,Polyphony Digital,3.88,3.42,1.69,0.5,9.49,93.0,88.0,E
71,Call of Duty 4: Modern Warfare,2007-11-05,X360,Shooter,Activision,Infinity Ward,5.91,2.38,0.13,0.9,9.32,94.0,85.0,M
72,Donkey Kong Country,1994-11-21,SNES,Platform,Nintendo,Rare,4.36,1.71,3.0,0.23,9.3,89.0,89.0,E
73,Minecraft,2011-11-18,X360,Misc,Microsoft Game Studios,Mojang,5.58,2.83,0.02,0.77,9.2,93.0,90.0,E
74,Animal Crossing: New Leaf,2012-11-08,3DS,Simulation,Nintendo,Nintendo,2.01,2.32,4.36,0.41,9.09,88.0,86.0,E
75,Mario Party DS,2007-11-08,DS,Misc,Nintendo,Nintendo,4.46,1.88,1.98,0.7,9.02,78.0,75.0,E
76,The Elder Scrolls V: Skyrim,2011-11-11,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.03,2.86,0.1,0.85,8.84,96.0,85.0,M
77,Super Mario Kart,1992-08-27,SNES,Racing,Nintendo,Nintendo,3.54,1.24,3.81,0.18,8.76,82.0,82.0,E
78,FIFA 16,2015-09-22,PS4,Sports,Electronic Arts,EA Sports,1.11,6.06,0.06,1.26,8.49,83.0,76.0,E
79,Wii Party,2010-07-08,Wii,Misc,Nintendo,Nintendo,1.79,3.53,2.49,0.68,8.49,70.0,69.0,E
80,Halo 2,2004-11-09,XB,Shooter,Microsoft Game Studios,Bungie,6.82,1.53,0.05,0.08,8.49,95.0,92.0,M
81,Mario Party 8,2007-05-29,Wii,Misc,Nintendo,Hudson Soft,3.81,2.3,1.58,0.73,8.42,62.0,73.0,E
82,Pokemon Black 2/Pokemon White 2,2012-06-23,DS,Role-Playing,Nintendo,Game Freak,2.91,1.86,3.14,0.43,8.33,80.0,85.0,E
83,FIFA Soccer 13,2012-09-25,PS3,Action,Electronic Arts,EA Sports,1.06,5.05,0.13,2.01,8.24,88.0,81.0,E
84,The Sims 3,2009-06-02,PC,Simulation,Electronic Arts,Maxis,0.98,6.42,0.0,0.71,8.11,86.0,82.0,T
85,GoldenEye 007,1997-08-25,N64,Shooter,Nintendo,Rare,5.8,2.01,0.13,0.15,8.09,90.0,88.0,T
86,Mario & Sonic at the Olympic Games,2007-11-06,Wii,Sports,Sega,Sega,2.58,3.9,0.66,0.91,8.06,72.0,70.0,E
87,Final Fantasy X,2001-07-19,PS2,Role-Playing,Sony Computer Entertainment,Square Enix,2.91,2.07,2.73,0.33,8.05,92.0,89.0,T
88,Final Fantasy VIII,1999-02-11,PS,Role-Playing,SquareSoft,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,88.0,T
90,Pac-Man,1980-05-22,2600,Puzzle,Atari,Namco,7.28,0.45,0.0,0.08,7.81,80.0,76.0,E
91,Grand Theft Auto: Liberty City Stories,2005-10-24,PSP,Action,Take-Two Interactive,Rockstar Leeds,2.9,2.83,0.24,1.75,7.72,88.0,85.0,M
92,Super Mario Galaxy 2,2010-05-23,Wii,Platform,Nintendo,Nintendo,3.66,2.42,0.98,0.64,7.69,97.0,91.0,E
93,Star Wars Battlefront (2015),2015-11-17,PS4,Shooter,Electronic Arts,EA DICE,2.93,3.29,0.22,1.23,7.67,73.0,65.0,T
94,Call of Duty: Advanced Warfare,2014-11-04,PS4,Shooter,Activision,Sledgehammer Games,2.8,3.3,0.14,1.37,7.6,83.0,79.0,M
95,The Legend of Zelda: Ocarina of Time,1998-11-21,N64,Action,Nintendo,Nintendo,4.1,1.89,1.45,0.16,7.6,99.0,91.0,E
96,Crash Bandicoot 2: Cortex Strikes Back,1997-10-31,PS,Platform,Sony Computer Entertainment,Naughty Dog,3.78,2.17,1.31,0.31,7.58,89.0,87.0,E
97,Super Mario Bros. 2,1988-10-09,NES,Platform,Nintendo,Nintendo,5.39,1.18,0.7,0.19,7.46,85.0,83.0,E
98,Super Smash Bros. for Wii U and 3DS,2014-11-21,3DS,Fighting,Nintendo,Nintendo,3.24,1.35,2.42,0.43,7.45,92.0,88.0,E
99,Call of Duty: World at War,2008-11-11,X360,Shooter,Activision,Treyarch,4.79,1.9,0.0,0.69,7.37,84.0,78.0,M
100,Battlefield 3,2011-10-25,X360,Shooter,Electronic Arts,EA DICE,4.46,2.13,0.06,0.69,7.34,89.0,86.0,M
101,The Legend of Zelda: Twilight Princess,2006-11-19,Wii,Action,Nintendo,Nintendo,3.83,2.19,0.6,0.7,7.31,95.0,91.0,T
102,Call of Duty: Black Ops 3,2015-11-06,XOne,Shooter,Activision,Treyarch,4.52,2.09,0.01,0.67,7.3,81.0,72.0,M
103,Just Dance,2009-11-17,Wii,Misc,Ubisoft,Ubisoft,3.51,3.03,0.0,0.73,7.27,76.0,75.0,E
104,Battlefield 3,2011-10-25,PS3,Shooter,Electronic Arts,DICE,2.85,2.93,0.35,1.1,7.23,89.0,86.0,M
105,Need for Speed Underground,2003-11-17,PS2,Racing,Electronic Arts,EA Black Box,3.27,2.83,0.08,1.02,7.2,85.0,87.0,E
106,Tekken 3,1997-03-20,PS,Fighting,Sony Computer Entertainment,Namco,3.27,2.22,1.4,0.29,7.16,96.0,92.0,T
107,Crash Bandicoot 3: Warped,1998-10-31,PS,Platform,Sony Computer Entertainment,Naughty Dog,3.68,1.75,1.42,0.28,7.13,91.0,90.0,E
108,Super Smash Bros. Melee,2001-11-21,GC,Fighting,Nintendo,HAL Laboratory,4.41,1.04,1.39,0.22,7.07,92.0,91.0,T
109,Mario Kart 8,2014-05-29,WiiU,Racing,Nintendo,Nintendo,3.13,2.07,1.27,0.49,6.96,88.0,89.0,E
110,Fallout 4,2015-11-10,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2.47,3.15,0.24,1.1,6.96,84.0,78.0,M
111,Mario Kart: Double Dash!!,2003-11-07,GC,Racing,Nintendo,Nintendo,4.12,1.77,0.87,0.19,6.95,87.0,86.0,E
112,Just Dance 4,2012-10-09,Wii,Misc,Ubisoft,Ubisoft,4.14,2.21,0.0,0.56,6.91,74.0,72.0,E
113,FIFA 14,2013-09-23,PS3,Sports,Electronic Arts,EA Sports,0.78,4.32,0.07,1.73,6.9,88.0,84.0,E
114,Need for Speed Underground 2,2004-11-15,PS2,Racing,Electronic Arts,EA Black Box,2.71,3.02,0.08,1.09,6.9,82.0,81.0,E
115,Medal of Honor: Frontline,2002-05-29,PS2,Shooter,Electronic Arts,EA Los Angeles,2.93,2.75,0.17,0.99,6.83,89.0,87.0,T
116,Uncharted 3: Drake's Deception,2011-11-01,PS3,Action,Sony Computer Entertainment,Naughty Dog,2.77,2.8,0.19,1.06,6.83,92.0,91.0,T
117,Crash Bandicoot,1996-09-09,PS,Platform,Sony Computer Entertainment,Naughty Dog,3.23,2.35,0.94,0.3,6.82,80.0,75.0,E
118,Zumba Fitness,2010-11-18,Wii,Sports,505 Games,505 Games,3.5,2.64,0.0,0.67,6.81,60.0,62.0,E
119,Gears of War 2,2008-11-07,X360,Shooter,Microsoft Game Studios,Epic Games,4.15,1.92,0.06,0.64,6.76,93.0,89.0,M
120,Uncharted 2: Among Thieves,2009-10-13,PS3,Action,Sony Computer Entertainment,Naughty Dog,3.27,2.25,0.21,1.0,6.73,96.0,94.0,T
121,Call of Duty 4: Modern Warfare,2007-11-05,PS3,Shooter,Activision,Infinity Ward,3.1,2.3,0.28,1.04,6.72,94.0,85.0,M
122,FIFA 12,2011-09-27,PS3,Sports,Electronic Arts,EA Sports,0.84,4.32,0.11,1.42,6.69,90.0,86.0,E
123,Big Brain Academy,2005-06-30,DS,Misc,Nintendo,Nintendo,1.67,2.78,1.6,0.62,6.67,78.0,75.0,E
124,Red Dead Redemption,2010-05-18,PS3,Action,Take-Two Interactive,Rockstar San Diego,2.79,2.61,0.17,1.03,6.6,95.0,95.0,M
125,FIFA 15,2014-09-23,PS4,Sports,Electronic Arts,EA Sports,0.79,4.29,0.05,1.47,6.59,89.0,83.0,E
126,Donkey Kong Country Returns,2010-11-21,Wii,Platform,Nintendo,Retro Studios,3.25,1.84,1.03,0.47,6.59,87.0,84.0,E
127,The Elder Scrolls V: Skyrim,2011-11-11,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2.55,2.71,0.25,1.05,6.56,96.0,92.0,M
128,The Legend of Zelda,1986-02-21,NES,Action,Nintendo,Nintendo,3.74,0.93,1.69,0.14,6.51,89.0,88.0,E
129,Assassin's Creed III,2012-10-30,PS3,Action,Ubisoft,Ubisoft,2.64,2.56,0.16,1.14,6.5,85.0,80.0,M
130,Halo: Combat Evolved,2001-11-15,XB,Shooter,Microsoft Game Studios,Bungie,4.98,1.3,0.08,0.07,6.43,97.0,93.0,M
132,Kingdom Hearts,2002-03-28,PS2,Role-Playing,Sony Computer Entertainment,Square Enix,3.64,1.2,1.49,0.07,6.4,85.0,89.0,E
134,Halo 3: ODST,2009-09-22,X360,Shooter,Microsoft Game Studios,Bungie,4.34,1.35,0.06,0.61,6.36,86.0,87.0,M
135,Red Dead Redemption,2010-05-18,X360,Action,Take-Two Interactive,Rockstar San Diego,3.7,1.97,0.09,0.57,6.34,95.0,95.0,M
136,Super Mario Sunshine,2002-07-19,GC,Platform,Nintendo,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,89.0,E
137,Street Fighter II: The World Warrior,1991-02-06,SNES,Fighting,Capcom,Capcom,2.47,0.83,2.87,0.12,6.3,94.0,92.0,T
138,World of Warcraft,2004-11-23,PC,Role-Playing,Activision,Blizzard Entertainment,0.07,6.21,0.0,0.0,6.28,93.0,90.0,T
139,Driver,1999-06-30,PS,Action,GT Interactive,Reflections Interactive,3.11,2.8,0.02,0.33,6.27,85.0,79.0,T
140,Kinect Sports,2010-11-04,X360,Sports,Microsoft Game Studios,Rare,3.92,1.78,0.03,0.51,6.24,71.0,68.0,E
141,Gears of War 3,2011-09-20,X360,Shooter,Microsoft Game Studios,Epic Games,4.05,1.62,0.07,0.49,6.24,91.0,88.0,M
142,Gears of War,2006-11-07,X360,Shooter,Microsoft Game Studios,Epic Games,3.54,1.9,0.07,0.6,6.11,94.0,92.0,M
143,Metal Gear Solid 2: Sons of Liberty,2001-11-13,PS2,Action,Konami Digital Entertainment,Konami,2.45,2.01,0.87,0.72,6.05,96.0,91.0,M
144,Sonic the Hedgehog 2,1992-11-21,GEN,Platform,Sega,Sega,4.47,1.2,0.16,0.19,6.03,90.0,89.0,E
145,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,PS3,Action,Konami Digital Entertainment,Kojima Productions,2.63,1.74,0.83,0.83,6.03,94.0,87.0,M
146,Metal Gear Solid,1998-09-03,PS,Action,Konami Digital Entertainment,Konami,3.18,1.83,0.78,0.24,6.03,94.0,91.0,M
147,The Last of Us,2013-06-14,PS3,Action,Sony Computer Entertainment Europe,Naughty Dog,2.41,2.28,0.28,1.01,5.99,95.0,95.0,M
148,Final Fantasy XII,2006-10-31,PS2,Role-Playing,Square Enix,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,89.0,T
149,LittleBigPlanet,2008-10-27,PS3,Platform,Sony Computer Entertainment,Media Molecule,2.8,2.05,0.17,0.9,5.92,95.0,87.0,E
150,Dragon Quest IX: Sentinels of the Starry Skies,2009-07-11,DS,Role-Playing,Nintendo,Level-5,0.66,0.69,4.35,0.15,5.84,87.0,86.0,E
151,LEGO Star Wars: The Complete Saga,2007-11-06,Wii,Action,LucasArts,Traveller's Tales,3.66,1.63,0.0,0.53,5.83,80.0,82.0,E
152,Resident Evil 2,1998-01-21,PS,Action,Virgin Interactive,Capcom,1.88,1.47,2.02,0.45,5.82,89.0,89.0,M
153,Tekken 2,1996-08-29,PS,Fighting,Sony Computer Entertainment,Namco,2.26,1.89,1.36,0.23,5.74,93.0,90.0,T
154,Cooking Mama,2006-03-23,DS,Simulation,505 Games,Office Create,3.13,1.94,0.07,0.58,5.72,75.0,72.0,E
155,Destiny,2014-09-09,PS4,Shooter,Activision,Bungie,2.49,2.05,0.16,0.96,5.65,76.0,75.0,T
156,Tetris,1984-06-06,NES,Puzzle,Nintendo,Alexey Pajitnov,2.97,0.69,1.81,0.11,5.58,90.0,87.0,E
157,Assassin's Creed II,2009-11-17,PS3,Action,Ubisoft,Ubisoft,2.54,1.95,0.21,0.87,5.57,91.0,89.0,M
158,Super Smash Bros.,1999-01-21,N64,Fighting,Nintendo,HAL Laboratory,2.95,0.6,1.97,0.04,5.55,84.0,83.0,E
159,Assassin's Creed,2007-11-13,X360,Adventure,Ubisoft,Ubisoft,3.28,1.65,0.07,0.55,5.55,81.0,80.0,M
160,Batman: Arkham City,2011-10-18,PS3,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,2.7,1.91,0.11,0.8,5.53,96.0,91.0,T
161,Forza Motorsport 3,2009-10-23,X360,Racing,Microsoft Game Studios,Turn 10 Studios,2.99,1.92,0.1,0.51,5.51,92.0,88.0,E
162,Monster Hunter Freedom Unite,2008-03-27,PSP,Role-Playing,Capcom,Capcom,0.47,0.57,4.13,0.34,5.5,86.0,89.0,T
163,Super Mario Advance,2001-03-21,GBA,Platform,Nintendo,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,80.0,E
164,Mario Kart: Super Circuit,2001-08-27,GBA,Racing,Nintendo,Nintendo,2.62,1.64,0.99,0.23,5.47,91.0,86.0,E
165,Super Mario World,1990-11-21,GBA,Platform,Nintendo,Nintendo,3.21,1.11,0.95,0.2,5.46,97.0,94.0,E
166,Pokemon Stadium,1998-04-30,N64,Strategy,Nintendo,Nintendo,3.18,1.24,0.94,0.09,5.45,88.0,75.0,E
167,Call of Duty: World at War,2008-11-11,PS3,Shooter,Activision,Treyarch,2.72,1.87,0.0,0.84,5.43,85.0,78.0,M
168,Crash Bandicoot: The Wrath of Cortex,2001-10-29,PS2,Platform,Universal Interactive,Traveller's Tales,2.07,2.29,0.24,0.82,5.42,79.0,73.0,E
169,Minecraft,2011-11-18,PS3,Misc,Sony Computer Entertainment,Mojang,1.97,2.51,0.0,0.94,5.42,93.0,90.0,E
170,Final Fantasy XIII,2009-12-17,PS3,Role-Playing,Square Enix,Square Enix,1.74,1.24,1.87,0.52,5.36,83.0,74.0,T
171,Dr. Mario,1990-07-27,GB,Puzzle,Nintendo,Nintendo,2.18,0.96,2.0,0.2,5.34,78.0,75.0,E
172,Pokemon Pinball,1999-04-14,GB,Misc,Nintendo,Jupiter,3.02,1.12,1.01,0.16,5.31,80.0,78.0,E
173,Assassin's Creed III,2012-10-30,X360,Action,Ubisoft,Ubisoft,3.13,1.71,0.03,0.44,5.3,85.0,84.0,M
174,Final Fantasy IX,2000-07-07,PS,Role-Playing,SquareSoft,Square Enix,1.62,0.77,2.78,0.14,5.3,94.0,92.0,T
175,Final Fantasy X-2,2003-03-13,PS2,Role-Playing,Electronic Arts,Square Enix,1.92,1.08,2.11,0.17,5.29,85.0,79.0,T
176,Donkey Kong 64,1999-11-22,N64,Platform,Nintendo,Rare,3.33,0.79,1.09,0.06,5.27,88.0,85.0,E
177,Assassin's Creed II,2009-11-17,X360,Action,Ubisoft,Ubisoft,3.1,1.56,0.08,0.51,5.27,91.0,89.0,M
178,Professor Layton and the Curious Village,2007-02-15,DS,Puzzle,Nintendo,Level-5,1.22,2.48,1.03,0.52,5.26,86.0,81.0,E
179,Tomb Raider II,1997-10-31,PS,Action,Eidos Interactive,Core Design,2.3,2.46,0.2,0.28,5.24,89.0,88.0,T
180,Madden NFL 2004,2003-08-12,PS2,Sports,Electronic Arts,EA Tiburon,4.26,0.26,0.01,0.71,5.23,90.0,86.0,E
181,Dragon Quest VIII: Journey of the Cursed King,2004-11-27,PS2,Role-Playing,Square Enix,Level-5,0.65,0.75,3.61,0.2,5.21,89.0,86.0,T
182,Diablo III,2012-05-15,PC,Role-Playing,Activision,Blizzard Entertainment,2.43,2.15,0.0,0.62,5.2,88.0,89.0,M
183,Super Mario Bros. 3,1988-10-23,GBA,Platform,Nintendo,Nintendo,2.93,1.25,0.83,0.2,5.2,94.0,91.0,E
184,New Super Mario Bros. U,2012-11-18,WiiU,Platform,Nintendo,Nintendo,2.32,1.3,1.27,0.31,5.19,84.0,78.0,E
185,Super Mario Land 3: Wario Land,1994-01-21,GB,Platform,Nintendo,Nintendo,2.49,0.98,1.57,0.15,5.19,85.0,82.0,E
186,FIFA Soccer 13,2012-09-25,X360,Action,Electronic Arts,EA Sports,1.08,3.48,0.03,0.58,5.18,90.0,85.0,E
187,The Legend of Zelda: Phantom Hourglass,2007-06-23,DS,Action,Nintendo,Nintendo,1.9,1.83,0.95,0.49,5.17,88.0,83.0,E
188,Donkey Kong Country 2: Diddy's Kong Quest,1995-11-20,SNES,Platform,Nintendo,Rare,2.1,0.74,2.2,0.11,5.15,94.0,90.0,E
189,Tomodachi Life,2013-04-18,3DS,Simulation,Nintendo,Nintendo,0.96,2.02,1.89,0.28,5.15,76.0,71.0,E
190,Mario & Sonic at the Olympic Games,2007-11-06,DS,Sports,Sega,Sega,1.64,2.48,0.44,0.58,5.14,80.0,76.0,E
191,Medal of Honor: Rising Sun,2003-11-11,PS2,Shooter,Electronic Arts,EA Los Angeles,1.98,2.23,0.13,0.8,5.13,68.0,72.0,T
192,Kirby's Dream Land,1992-04-27,GB,Platform,Nintendo,HAL Laboratory,2.71,0.61,1.7,0.11,5.13,80.0,78.0,E
193,Fable III,2010-10-26,X360,Role-Playing,Microsoft Game Studios,Lionhead Studios,3.59,1.11,0.05,0.38,5.13,83.0,80.0,M
